product_id,variant_sku,product_name,description,brand,category,retail_price,discounted_price,product_url,image_url
PROD-001,SKU-001-RED-S,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,19.99,/products/classic-tee,/images/tee_red.jpg
PROD-001,SKU-001-RED-M,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,19.99,/products/classic-tee,/images/tee_red.jpg
PROD-001,SKU-001-BLU-M,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,19.99,/products/classic-tee,/images/tee_blue.jpg
PROD-001,SKU-001-BLK-L,Classic Cotton T-Shirt,"A timeless classic, this 100% cotton t-shirt offers a soft feel and a comfortable fit. Perfect for everyday wear.",Gemini Apparel,Clothing,25.00,21.50,/products/classic-tee,/images/tee_black.jpg
PROD-002,SKU-002-BLK,Noise-Cancelling Headphones,"Immerse yourself in sound with these high-fidelity headphones featuring active noise cancellation and a 20-hour battery life.",Gemini Electronics,Electronics,150.00,129.99,/products/headphones-pro,/images/headphones_black.jpg
PROD-002,SKU-002-WHT,Noise-Cancelling Headphones,"Immerse yourself in sound with these high-fidelity headphones featuring active noise cancellation and a 20-hour battery life.",Gemini Electronics,Electronics,150.00,129.99,/products/headphones-pro,/images/headphones_white.jpg
PROD-003,SKU-003-GRY,Ergonomic Office Chair,"Designed for comfort, this ergonomic chair provides lumbar support and is fully adjustable. Ideal for your home office.",Gemini Home,Furniture,350.00,299.00,/products/office-chair,/images/chair_grey.jpg
PROD-004,SKU-004-11,Pro-Grade Soccer Ball,"Official size 5 soccer ball, designed for optimal performance and durability on the field.",Gemini Sports,Sports & Outdoors,45.00,39.99,/products/soccer-ball,/images/soccer_ball.jpg
PROD-005,SKU-005-ESP,Artisan Espresso Blend,"A rich and aromatic blend of Arabica beans from South America. Perfect for a morning espresso.",Gemini Coffee,Groceries,18.00,15.99,/products/espresso-blend,/images/coffee_beans.jpg
PROD-005,SKU-005-FRN,Artisan French Roast,"A bold and dark roast with notes of chocolate and hazelnut. A classic French roast experience.",Gemini Coffee,Groceries,18.00,15.99,/products/french-roast,/images/coffee_beans_dark.jpg
PROD-006,SKU-006-SNY,"The Silent Forest","A thrilling mystery novel by acclaimed author Jane Doe. A perfect read for a rainy day.",Gemini Books,Books,22.00,18.99,/products/silent-forest,/images/book_silent_forest.jpg
PROD-007,SKU-007-BLU,Yoga Mat (6mm),"High-density, non-slip yoga mat provides comfort and stability for your practice. Easy to clean and carry.",Gemini Wellness,Sports & Outdoors,35.00,29.99,/products/yoga-mat,/images/yoga_mat_blue.jpg
PROD-007,SKU-007-PPL,Yoga Mat (6mm),"High-density, non-slip yoga mat provides comfort and stability for your practice. Easy to clean and carry.",Gemini Wellness,Sports & Outdoors,35.00,29.99,/products/yoga-mat,/images/yoga_mat_purple.jpg
PROD-008,SKU-008-STL,Stainless Steel Water Bottle,"Keep your drinks cold for 24 hours or hot for 12. 32oz capacity, BPA-free.",Gemini Active,Accessories,30.00,24.99,/products/water-bottle,/images/bottle_steel.jpg
PROD-009,SKU-009-CHR,Smart Home Hub,"Control all your smart devices from one central hub. Compatible with Alexa, Google Assistant, and more.",Gemini SmartHome,Electronics,99.00,89.00,/products/smart-hub,/images/smart_hub.jpg
PROD-010,SKU-010-L,Men's Running Shorts,"Lightweight and breathable running shorts with a built-in liner for comfort and support.",Gemini Apparel,Clothing,40.00,34.99,/products/running-shorts-men,/images/shorts_men_black.jpg
PROD-010,SKU-010-M,Men's Running Shorts,"Lightweight and breathable running shorts with a built-in liner for comfort and support.",Gemini Apparel,Clothing,40.00,34.99,/products/running-shorts-men,/images/shorts_men_black.jpg
PROD-011,SKU-011-M,Women's Running Leggings,"High-waisted and squat-proof, these leggings are perfect for your next workout.",Gemini Apparel,Clothing,60.00,54.99,/products/leggings-women,/images/leggings_women_black.jpg
PROD-011,SKU-011-S,Women's Running Leggings,"High-waisted and squat-proof, these leggings are perfect for your next workout.",Gemini Apparel,Clothing,60.00,54.99,/products/leggings-women,/images/leggings_women_black.jpg
PROD-012,SKU-012-GLD,10-Inch Digital Photo Frame,"Display your favorite memories with this crisp, high-resolution digital photo frame. Supports USB and SD cards.",Gemini Electronics,Electronics,80.00,69.99,/products/photo-frame,/images/photo_frame.jpg
PROD-013,SKU-013-VAN,Organic Vanilla Protein Powder,"25g of plant-based protein per serving. Smooth vanilla flavor, mixes easily.",Gemini Wellness,Groceries,45.00,39.99,/products/protein-vanilla,/images/protein_vanilla.jpg
PROD-013,SKU-013-CHC,Organic Chocolate Protein Powder,"25g of plant-based protein per serving. Rich chocolate flavor, mixes easily.",Gemini Wellness,Groceries,45.00,39.99,/products/protein-chocolate,/images/protein_chocolate.jpg
PROD-014,SKU-014-SET,Ceramic Dinnerware Set,"A 16-piece set for four, including dinner plates, salad plates, bowls, and mugs. Dishwasher safe.",Gemini Home,Home Goods,120.00,99.99,/products/dinnerware-set,/images/dinnerware.jpg
PROD-015,SKU-015-BLK,Portable Bluetooth Speaker,"Compact yet powerful, this speaker delivers 10 hours of playtime and is waterproof (IPX7).",Gemini Electronics,Electronics,50.00,44.99,/products/bluetooth-speaker,/images/speaker_black.jpg
PROD-015,SKU-015-BLU,Portable Bluetooth Speaker,"Compact yet powerful, this speaker delivers 10 hours of playtime and is waterproof (IPX7).",Gemini Electronics,Electronics,50.00,44.99,/products/bluetooth-speaker,/images/speaker_blue.jpg
PROD-016,SKU-016-NAT,Bamboo Cutting Board Set,"A set of three durable and eco-friendly bamboo cutting boards in various sizes.",Gemini Home,Home Goods,28.00,22.50,/products/cutting-boards,/images/cutting_boards.jpg
PROD-017,SKU-017-GRN,Herbal Green Tea,"A refreshing and calming blend of organic green tea with hints of mint and lemongrass. 50 tea bags.",Gemini Tea,Groceries,12.00,9.99,/products/green-tea,/images/green_tea.jpg
PROD-018,SKU-018-BLK,Gaming Mouse,"High-precision gaming mouse with customizable RGB lighting and 6 programmable buttons.",Gemini Gaming,Electronics,60.00,49.99,/products/gaming-mouse,/images/mouse_gaming.jpg
